,Tahun,Bulan,Hari,Jam,elevasi (m)
175688,2004,1,16,8,1.82
175689,2004,1,16,9,1.78
175690,2004,1,16,10,1.77
175691,2004,1,16,11,1.76
175692,2004,1,16,12,1.72
175693,2004,1,16,13,1.73
175694,2004,1,16,14,1.72
175695,2004,1,16,15,1.77
175696,2004,1,16,16,1.78
175697,2004,1,16,17,1.84
175698,2004,1,16,18,1.89
175699,2004,1,16,19,2.0
175700,2004,1,16,20,2.08
175701,2004,1,16,21,2.16
175702,2004,1,16,22,2.26
175703,2004,1,16,23,2.34
175704,2004,1,17,0,2.38
175705,2004,1,17,1,2.41
175706,2004,1,17,2,2.38
175707,2004,1,17,3,2.36
175708,2004,1,17,4,2.29
175709,2004,1,17,5,2.11
175710,2004,1,17,6,2.0
175711,2004,1,17,7,1.88
175712,2004,1,17,8,1.76
175713,2004,1,17,9,1.7
175714,2004,1,17,10,1.66
175715,2004,1,17,11,1.64
175716,2004,1,17,12,1.67
175717,2004,1,17,13,1.67
175718,2004,1,17,14,1.73
175719,2004,1,17,15,1.77
175720,2004,1,17,16,1.84
175721,2004,1,17,17,1.9
175722,2004,1,17,18,1.96
175723,2004,1,17,19,2.05
175724,2004,1,17,20,2.11
175725,2004,1,17,21,2.2
175726,2004,1,17,22,2.26
175727,2004,1,17,23,2.4
175728,2004,1,18,0,2.47
175729,2004,1,18,1,2.43
175730,2004,1,18,2,2.35
175731,2004,1,18,3,2.14
175732,2004,1,18,4,2.01
175733,2004,1,18,5,1.84
175734,2004,1,18,6,1.69
175735,2004,1,18,7,1.59
175736,2004,1,18,8,1.52
175737,2004,1,18,9,1.49
175738,2004,1,18,10,1.48
175739,2004,1,18,11,1.53
175740,2004,1,18,12,1.57
175741,2004,1,18,13,1.65
175742,2004,1,18,14,1.72
175743,2004,1,18,15,1.81
175744,2004,1,18,16,1.83
175745,2004,1,18,17,1.91
175746,2004,1,18,18,1.97
175747,2004,1,18,19,2.1
175748,2004,1,18,20,2.23
175749,2004,1,18,21,2.38
175750,2004,1,18,22,2.46
175751,2004,1,18,23,2.54
175752,2004,1,19,0,2.51
175753,2004,1,19,1,2.52
175754,2004,1,19,2,2.4
175755,2004,1,19,3,2.32
175756,2004,1,19,4,2.15
175757,2004,1,19,5,1.98
175758,2004,1,19,6,1.77
175759,2004,1,19,7,1.66
175760,2004,1,19,8,1.54
175761,2004,1,19,9,1.52
175762,2004,1,19,10,1.48
175763,2004,1,19,11,1.53
175764,2004,1,19,12,1.55
175765,2004,1,19,13,1.65
175766,2004,1,19,14,1.71
175767,2004,1,19,15,1.78
175768,2004,1,19,16,1.83
175769,2004,1,19,17,1.96
175770,2004,1,19,18,2.01
175771,2004,1,19,19,2.08
175772,2004,1,19,20,2.2
175773,2004,1,19,21,2.28
175774,2004,1,19,22,2.46
175775,2004,1,19,23,2.55
175776,2004,1,20,0,2.6
175777,2004,1,20,1,2.58
175778,2004,1,20,2,2.53
175779,2004,1,20,3,2.4
175780,2004,1,20,4,2.26
175781,2004,1,20,5,2.09
175782,2004,1,20,6,1.87
175783,2004,1,20,7,1.7
175784,2004,1,20,8,1.5
175785,2004,1,20,9,1.42
175786,2004,1,20,10,1.37
175787,2004,1,20,11,1.36
175788,2004,1,20,12,1.43
175789,2004,1,20,13,1.52
175790,2004,1,20,14,1.61
175791,2004,1,20,15,1.7
175792,2004,1,20,16,1.8
175793,2004,1,20,17,1.86
175794,2004,1,20,18,1.92
175795,2004,1,20,19,2.01
175796,2004,1,20,20,2.09
175797,2004,1,20,21,2.24
175798,2004,1,20,22,2.4
175799,2004,1,20,23,2.51
175800,2004,1,21,0,2.6
175801,2004,1,21,1,2.66
175802,2004,1,21,2,2.59
175803,2004,1,21,3,2.48
175804,2004,1,21,4,2.34
175805,2004,1,21,5,2.19
175806,2004,1,21,6,1.97
175807,2004,1,21,7,1.79
175808,2004,1,21,8,1.62
175809,2004,1,21,9,1.51
175810,2004,1,21,10,1.44
175811,2004,1,21,11,1.44
175812,2004,1,21,12,1.48
175813,2004,1,21,13,1.52
175814,2004,1,21,14,1.63
175815,2004,1,21,15,1.7
175816,2004,1,21,16,1.79
175817,2004,1,21,17,1.82
175818,2004,1,21,18,1.87
175819,2004,1,21,19,1.94
175820,2004,1,21,20,2.02
175821,2004,1,21,21,2.13
175822,2004,1,21,22,2.26
175823,2004,1,21,23,2.43
175824,2004,1,22,0,2.57
175825,2004,1,22,1,2.65
175826,2004,1,22,2,2.67
175827,2004,1,22,3,2.61
175828,2004,1,22,4,2.52
175829,2004,1,22,5,2.34
175830,2004,1,22,6,2.16
175831,2004,1,22,7,1.98
175832,2004,1,22,8,1.8
175833,2004,1,22,9,1.66
175834,2004,1,22,10,1.54
175835,2004,1,22,11,1.49
175836,2004,1,22,12,1.54
175837,2004,1,22,13,1.59
175838,2004,1,22,14,1.65
175839,2004,1,22,15,1.74
175840,2004,1,22,16,1.83
175841,2004,1,22,17,1.89
175842,2004,1,22,18,1.95
175843,2004,1,22,19,1.95
175844,2004,1,22,20,2.03
175845,2004,1,22,21,2.14
175846,2004,1,22,22,2.25
175847,2004,1,22,23,2.39
175848,2004,1,23,0,2.48
175849,2004,1,23,1,2.6
175850,2004,1,23,2,2.65
175851,2004,1,23,3,2.62
175852,2004,1,23,4,2.55
175853,2004,1,23,5,2.43
175854,2004,1,23,6,2.3
175855,2004,1,23,7,2.11
175856,2004,1,23,8,1.95
175857,2004,1,23,9,1.81
175858,2004,1,23,10,1.68
175859,2004,1,23,11,1.63
175860,2004,1,23,12,1.6
175861,2004,1,23,13,1.64
175862,2004,1,23,14,1.66
175863,2004,1,23,15,1.72
175864,2004,1,23,16,1.82
175865,2004,1,23,17,1.88
175866,2004,1,23,18,1.94
175867,2004,1,23,19,1.94
175868,2004,1,23,20,1.99
175869,2004,1,23,21,2.09
175870,2004,1,23,22,2.18
175871,2004,1,23,23,2.28
175872,2004,1,24,0,2.4
175873,2004,1,24,1,2.51
175874,2004,1,24,2,2.55
175875,2004,1,24,3,2.54
175876,2004,1,24,4,2.51
175877,2004,1,24,5,2.42
175878,2004,1,24,6,2.31
175879,2004,1,24,7,2.08
175880,2004,1,24,8,1.93
175881,2004,1,24,9,1.82
175882,2004,1,24,10,1.73
175883,2004,1,24,11,1.62
